,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),color,0
0,5.1,3.5,1.4,0.2,red,0
1,4.9,3,1.4,0.2,red,0
2,4.7,3.2,1.3,0.2,red,0
3,4.6,3.1,1.5,0.2,red,0
4,5,3.6,1.4,0.2,red,0
5,5.4,3.9,1.7,0.4,red,0
6,4.6,3.4,1.4,0.3,red,0
7,5,3.4,1.5,0.2,red,0
8,4.4,2.9,1.4,0.2,red,0
9,4.9,3.1,1.5,0.1,red,0
10,5.4,3.7,1.5,0.2,red,0
11,4.8,3.4,1.6,0.2,red,0
12,4.8,3,1.4,0.1,red,0
13,4.3,3,1.1,0.1,red,0
14,5.8,4,1.2,0.2,red,0
15,5.7,4.4,1.5,0.4,red,0
16,5.4,3.9,1.3,0.4,red,0
17,5.1,3.5,1.4,0.3,red,0
18,5.7,3.8,1.7,0.3,red,0
19,5.1,3.8,1.5,0.3,red,0
20,5.4,3.4,1.7,0.2,red,0
21,5.1,3.7,1.5,0.4,red,0
22,4.6,3.6,1,0.2,red,0
23,5.1,3.3,1.7,0.5,red,0
24,4.8,3.4,1.9,0.2,red,0
25,5,3,1.6,0.2,red,0
26,5,3.4,1.6,0.4,red,0
27,5.2,3.5,1.5,0.2,red,0
28,5.2,3.4,1.4,0.2,red,0
29,4.7,3.2,1.6,0.2,red,0
30,4.8,3.1,1.6,0.2,green,0
31,5.4,3.4,1.5,0.4,green,0
32,5.2,4.1,1.5,0.1,green,0
33,5.5,4.2,1.4,0.2,green,0
34,4.9,3.1,1.5,0.2,green,0
35,5,3.2,1.2,0.2,green,0
36,5.5,3.5,1.3,0.2,green,0
37,4.9,3.6,1.4,0.1,green,0
38,4.4,3,1.3,0.2,green,0
39,5.1,3.4,1.5,0.2,green,0
40,5,3.5,1.3,0.3,red,0
41,4.5,2.3,1.3,0.3,red,0
42,4.4,3.2,1.3,0.2,red,0
43,5,3.5,1.6,0.6,red,0
44,5.1,3.8,1.9,0.4,red,0
45,4.8,3,1.4,0.3,red,0
46,5.1,3.8,1.6,0.2,red,0
47,4.6,3.2,1.4,0.2,red,0
48,5.3,3.7,1.5,0.2,red,0
49,5,3.3,1.4,0.2,red,0
50,7,3.2,4.7,1.4,red,1
51,6.4,3.2,4.5,1.5,red,1
52,6.9,3.1,4.9,1.5,red,1
53,5.5,2.3,4,1.3,red,1
54,6.5,2.8,4.6,1.5,red,1
55,5.7,2.8,4.5,1.3,red,1
56,6.3,3.3,4.7,1.6,red,1
57,4.9,2.4,3.3,1,red,1
58,6.6,2.9,4.6,1.3,red,1
59,5.2,2.7,3.9,1.4,red,1
60,5,2,3.5,1,red,1
61,5.9,3,4.2,1.5,red,1
62,6,2.2,4,1,red,1
63,6.1,2.9,4.7,1.4,red,1
64,5.6,2.9,3.6,1.3,red,1
65,6.7,3.1,4.4,1.4,red,1
66,5.6,3,4.5,1.5,red,1
67,5.8,2.7,4.1,1,red,1
68,6.2,2.2,4.5,1.5,red,1
69,5.6,2.5,3.9,1.1,red,1
70,5.9,3.2,4.8,1.8,red,1
71,6.1,2.8,4,1.3,red,1
72,6.3,2.5,4.9,1.5,red,1
